Tran,San,Gia_tri_PPG,Truc_0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,0.0,0.0
300.0,-300.0,-475.63,0.0
300.0,-300.0,-1062.34,0.0
300.0,-300.0,-1942.18,0.0
300.0,-300.0,-3144.97,0.0
300.0,-300.0,-4671.32,0.0
300.0,-300.0,-6475.09,0.0
300.0,-300.0,-8472.53,0.0
300.0,-300.0,-10549.84,0.0
300.0,-300.0,-12568.91,0.0
300.0,-300.0,-14396.56,0.0
300.0,-300.0,-16069.6,0.0
300.0,-300.0,-17381.58,0.0
300.0,-300.0,-18323.27,0.0
300.0,-300.0,-18905.33,0.0
300.0,-300.0,-19177.83,0.0
300.0,-300.0,-19225.09,0.0
300.0,-300.0,-19154.93,0.0
300.0,-300.0,-19079.07,0.0
300.0,-300.0,-19099.84,0.0
300.0,-300.0,-19310.41,0.0
300.0,-300.0,-19875.07,0.0
300.0,-300.0,-20788.32,0.0
300.0,-300.0,-22102.11,0.0
300.0,-300.0,-23826.29,0.0
300.0,-300.0,-25975.25,0.0
300.0,-300.0,-28542.71,0.0
300.0,-300.0,-31558.05,0.0
300.0,-300.0,-34941.75,0.0
300.0,-300.0,-38601.84,0.0
300.0,-300.0,-42468.86,0.0
300.0,-300.0,-46447.64,0.0
300.0,-300.0,-50378.77,0.0
300.0,-300.0,-54094.81,0.0
300.0,-300.0,-57407.5,0.0
300.0,-300.0,-60123.45,0.0
300.0,-300.0,-62072.11,0.0
300.0,-300.0,-63115.73,0.0
300.0,-300.0,-63173.64,0.0
300.0,-300.0,-62233.98,0.0
300.0,-300.0,-60361.15,0.0
300.0,-300.0,-57728.35,0.0
300.0,-300.0,-54494.74,0.0
300.0,-300.0,-50896.61,0.0
300.0,-300.0,-47162.64,0.0
300.0,-300.0,-43497.51,0.0
300.0,-300.0,-40056.55,0.0
300.0,-300.0,-36929.71,0.0
300.0,-300.0,-34137.79,0.0
300.0,-300.0,-31637.3,0.0
300.0,-300.0,-29339.5,0.0
300.0,-300.0,-27151.03,0.0
300.0,-300.0,-24952.02,0.0
300.0,-300.0,-22672.39,0.0
