Original,Filtered
-54069.48708618061,-3735.22885837128
-54199.57941259056,-3756.819530828351
-54375.69988328168,-3832.146911460483
-54636.61984588585,-4005.116850040663
-55007.059363023145,-4301.341518741176
-55492.05716943927,-4722.329585129715
-56073.52281145949,-5243.401870368635
-56710.13052906877,-5816.001169622053
-57341.45464912545,-6374.439859352309
-57896.504750035136,-6846.328219704509
-58305.71780100997,-7165.088628505645
-58514.30933994701,-7282.296507095934
-58494.08588548281,-7177.3230884975865
-58250.71833424319,-6862.049657320528
-57824.24508375367,-6379.306042651339
-57282.09445129545,-5795.015605890885
-56705.82030067722,-5185.507718805667
-56174.49354939202,-4622.704297626649
-55748.74646779409,-4160.5376667026885
-55459.464704817896,-3825.783952666578
-55304.002327925264,-3615.485074802458
-55250.82840006673,-3501.5064636012235
-55251.24339181223,-3440.9497788665626
-55254.87308527801,-3389.603804461402
-55224.6202402565,-3314.8071428250328
-55146.93721304646,-3204.2596845481007
-55034.63222220757,-3068.434763125124
-54921.55676733255,-2936.018403543721
-54850.83355981849,-2843.750229937663
-54860.11570352065,-2823.6184868709993
-54968.20417361781,-2891.122997209508
-55166.95812319876,-3038.0456620037803
-55420.93901628287,-3231.9310173846484
-55675.05659245596,-3422.6239684092498
-55868.25031178939,-3554.255784895702
-55949.559255108434,-3579.555193371023
-55892.26312484877,-3472.702099922997
-55702.28373163697,-3237.306497980839
-55418.56291616326,-2907.3676778907484
-55105.24530983014,-2540.8865410063736
-54837.61695925727,-2207.667694470495
-54685.31399405111,-1974.2662753295897
-54696.92557254374,-1889.6575916981299
-54889.645537018085,-1974.9162470744684
-55246.2462248186,-2219.113907935669
-55719.76258295168,-2582.104709102554
-56244.40204869989,-3003.2795522246493
-56749.82363590023,-3414.1224086294746
-57175.37232924724,-3751.7528395650784
-57481.18373955898,-3970.6688778379885
-57654.11459604188,-4050.517286380796
-57707.85224682868,-3998.695752638329
-57677.90338155127,-3847.6718349510274
-57613.11900284145,-3647.856851472077
-57565.806897315415,-3457.552019565321
-57582.33753058797,-3331.836316043365
-57695.64616321917,-3312.3115473836597
-57920.42418381193,-3419.4153534926086
-58251.28894398904,-3648.6110527105725
-58663.91859917436,-3971.1997400700484
-59118.99619058712,-4339.800526073427
-59568.67863528246,-4697.752208052492
-59965.04549571532,-4990.8928694722445
-60269.5232820846,-5179.518566034673
-60461.71776619605,-5247.990906662183
-60545.64499750127,-5209.624356011155
-60551.325489021845,-5105.22398132259
-60530.318701804186,-4994.908203328805
-60545.05496408084,-4944.417763857429
-60653.534976001305,-5008.62235407976
-60892.643441284265,-5215.974756548471
-61264.38663768426,-5557.874550020533
-61729.326247189005,-5986.114277830839
-62210.14183769347,-6419.874594893881
-62605.812451006925,-6761.464920789979
-62813.96412897428,-6917.724441649732
-62756.32828419046,-6822.315850768605
-62400.83690441108,-6453.5604578602115
-61774.19554642901,-5843.214223608158
-60960.88583193874,-5073.556529301293
-60087.96558526828,-4262.904751326215
-59298.82872103836,-3542.4956347814195
-58722.16998737384,-3029.856510598129
-58443.84802794173,-2804.743426109539
-58488.69320919148,-2893.1809691732324
-58816.718821483446,-3263.2237763023295
-59334.39979987992,-3833.257785386445
-59917.76720019694,-4490.686012704917
-60441.1365843073,-5116.451203948259
-60804.136412531625,-5609.623432258975
-60950.57502061704,-5906.495178962567
