Tran,San,Gia_tri_PPG,Truc_0
300,-300,-1954.04,0
300,-300,-1828.04,0
300,-300,-1695.94,0
300,-300,-1567.26,0
300,-300,-1447.43,0
300,-300,-1342.61,0
300,-300,-1254.69,0
300,-300,-1183.69,0
300,-300,-1128.13,0
300,-300,-1082.53,0
300,-300,-1039.10,0
300,-300,-993.39,0
300,-300,-937.83,0
300,-300,-870.57,0
300,-300,-788.13,0
300,-300,-692.16,0
300,-300,-584.93,0
300,-300,-472.29,0
300,-300,-356.95,0
300,-300,-246.48,0
300,-300,-144.04,0
300,-300,-54.95,0
300,-300,20.21,0
300,-300,78.88,0
300,-300,121.95,0
300,-300,148.77,0
300,-300,161.16,0
300,-300,158.33,0
300,-300,140.10,0
300,-300,104.12,0
300,-300,49.20,0
300,-300,-27.47,0
300,-300,-126.83,0
300,-300,-250.47,0
300,-300,-397.64,0
300,-300,-566.12,0
300,-300,-751.81,0
300,-300,-949.49,0
300,-300,-1153.26,0
300,-300,-1356.84,0
300,-300,-1553.86,0
300,-300,-1740.07,0
300,-300,-1911.29,0
300,-300,-2066.45,0
300,-300,-2204.79,0
300,-300,-2326.75,0
300,-300,-2433.25,0
300,-300,-2525.44,0
300,-300,-2603.61,0
300,-300,-2668.21,0
300,-300,-2717.35,0
300,-300,-2749.89,0
300,-300,-2762.76,0
300,-300,-2755.28,0
300,-300,-2726.03,0
300,-300,-2677.04,0
300,-300,-2609.88,0
300,-300,-2530.76,0
300,-300,-2444.31,0
300,-300,-2358.65,0
300,-300,-2280.09,0
300,-300,-2214.72,0
300,-300,-2165.68,0
300,-300,-2135.43,0
300,-300,-2113.71,0
300,-300,-2103.64,0
300,-300,-2094.28,0
300,-300,-2080.19,0
300,-300,-2053.17,0
300,-300,-2008.58,0
300,-300,-1942.32,0
300,-300,-1855.94,0
300,-300,-1751.41,0
300,-300,-1636.34,0
300,-300,-1518.18,0
300,-300,-1406.87,0
300,-300,-1308.29,0
300,-300,-1230.61,0
300,-300,-1175.81,0
300,-300,-1144.44,0
300,-300,-1131.90,0
300,-300,-1132.68,0
300,-300,-1137.14,0
300,-300,-1138.75,0
300,-300,-1126.94,0
300,-300,-1096.08,0
300,-300,-1044.87,0
300,-300,-970.13,0
300,-300,-873.11,0
300,-300,-759.99,0
300,-300,-636.17,0
300,-300,-509.31,0
300,-300,-384.85,0
300,-300,-270.05,0
300,-300,-166.94,0
300,-300,-80.08,0
300,-300,-10.31,0
300,-300,40.76,0
300,-300,73.59,0
300,-300,85.80,0
300,-300,77.18,0
300,-300,44.31,0
300,-300,-13.87,0
300,-300,-102.11,0
300,-300,-219.84,0
300,-300,-369.36,0
300,-300,-548.49,0
300,-300,-754.31,0
300,-300,-980.75,0
300,-300,-1222.37,0
300,-300,-1469.14,0
300,-300,-1714.59,0
300,-300,-1949.18,0
300,-300,-2167.83,0
300,-300,-2365.01,0
300,-300,-2538.59,0
300,-300,-2687.15,0
300,-300,-2813.23,0
300,-300,-2917.62,0
300,-300,-3003.88,0
300,-300,-3073.05,0
300,-300,-3126.94,0
300,-300,-3165.30,0
300,-300,-3188.50,0
300,-300,-3193.98,0
300,-300,-3181.29,0
300,-300,-3149.65,0
300,-300,-3100.74,0
300,-300,-3036.36,0
300,-300,-2961.49,0
300,-300,-2881.36,0
300,-300,-2803.17,0
300,-300,-2728.57,0
300,-300,-2665.20,0
300,-300,-2614.74,0
300,-300,-2576.87,0
300,-300,-2549.85,0
300,-300,-2529.41,0
300,-300,-2508.95,0
300,-300,-2482.97,0
300,-300,-2444.34,0
300,-300,-2389.73,0
300,-300,-2316.38,0
300,-300,-2224.73,0
300,-300,-2116.80,0
300,-300,-1997.90,0
300,-300,-1872.40,0
300,-300,-1746.49,0
300,-300,-1623.78,0
300,-300,-1507.97,0
300,-300,-1398.99,0
300,-300,-1296.31,0
300,-300,-1196.80,0
300,-300,-1097.37,0
300,-300,-990.96,0
300,-300,-881.94,0
300,-300,-761.03,0
300,-300,-630.51,0
300,-300,-491.64,0
300,-300,-349.70,0
300,-300,-209.07,0
300,-300,-76.58,0
300,-300,44.37,0
300,-300,146.99,0
300,-300,229.96,0
300,-300,290.84,0
300,-300,329.90,0
300,-300,346.57,0
300,-300,342.79,0
300,-300,318.36,0
300,-300,274.93,0
300,-300,211.28,0
300,-300,127.71,0
300,-300,21.55,0
300,-300,-104.90,0
300,-300,-254.89,0
300,-300,-425.54,0
300,-300,-616.11,0
300,-300,-821.69,0
300,-300,-1038.49,0
300,-300,-1259.47,0
300,-300,-1480.80,0
300,-300,-1694.90,0
300,-300,-1898.30,0
300,-300,-2084.86,0
300,-300,-2254.61,0
300,-300,-2404.03,0
300,-300,-2534.42,0
300,-300,-2644.76,0
300,-300,-2737.40,0
300,-300,-2811.29,0
300,-300,-2869.85,0
300,-300,-2909.55,0
300,-300,-2933.11,0
300,-300,-2937.24,0
300,-300,-2923.56,0
300,-300,-2889.93,0
300,-300,-2839.38,0
300,-300,-2770.72,0
300,-300,-2689.02,0
300,-300,-2595.47,0
300,-300,-2492.70,0
300,-300,-2387.09,0
300,-300,-2284.26,0
300,-300,-2187.07,0
300,-300,-2100.87,0
300,-300,-2026.75,0
300,-300,-1968.51,0
300,-300,-1924.19,0
300,-300,-1894.88,0
300,-300,-1876.03,0
300,-300,-1866.08,0
300,-300,-1858.12,0
300,-300,-1848.90,0
300,-300,-1830.06,0
300,-300,-1799.34,0
300,-300,-1749.15,0
300,-300,-1678.45,0
300,-300,-1582.57,0
300,-300,-1464.04,0
300,-300,-1322.10,0
300,-300,-1163.10,0
300,-300,-988.62,0
300,-300,-811.60,0
300,-300,-633.00,0
300,-300,-463.50,0
300,-300,-305.62,0
300,-300,-168.60,0
300,-300,-52.07,0
300,-300,37.57,0
300,-300,104.32,0
300,-300,143.33,0
300,-300,160.64,0
300,-300,153.16,0
300,-300,126.88,0
300,-300,76.94,0
300,-300,9.09,0
300,-300,-82.61,0
300,-300,-193.08,0
300,-300,-328.27,0
300,-300,-482.28,0
300,-300,-658.93,0
300,-300,-848.80,0
300,-300,-1053.61,0
300,-300,-1261.68,0
300,-300,-1473.17,0
300,-300,-1675.52,0
300,-300,-1870.05,0
300,-300,-2045.44,0
300,-300,-2205.57,0
300,-300,-2343.85,0
300,-300,-2466.05,0
300,-300,-2566.66,0
300,-300,-2655.07,0
300,-300,-2724.40,0
300,-300,-2783.38,0
300,-300,-2824.62,0
300,-300,-2854.57,0
300,-300,-2863.89,0
300,-300,-2858.55,0
300,-300,-2831.28,0
300,-300,-2787.10,0
300,-300,-2720.55,0
300,-300,-2640.76,0
300,-300,-2544.14,0
300,-300,-2443.34,0
300,-300,-2335.98,0
300,-300,-2234.63,0
300,-300,-2136.28,0
300,-300,-2051.61,0
300,-300,-1972.68,0
300,-300,-1910.18,0
300,-300,-1853.71,0
300,-300,-1809.07,0
300,-300,-1766.06,0
300,-300,-1729.54,0
300,-300,-1688.52,0
300,-300,-1649.36,0
300,-300,-1601.89,0
300,-300,-1553.63,0
300,-300,-1494.25,0
300,-300,-1433.39,0
300,-300,-1359.87,0
300,-300,-1282.88,0
300,-300,-1192.57,0
300,-300,-1096.58,0
300,-300,-985.61,0
300,-300,-868.51,0
300,-300,-737.31,0
300,-300,-603.01,0
300,-300,-458.51,0
300,-300,-316.77,0
300,-300,-176.88,0
300,-300,-47.95,0
300,-300,73.41,0
300,-300,175.10,0
300,-300,262.21,0
300,-300,325.00,0
300,-300,370.96,0
300,-300,392.14,0
300,-300,396.76,0
300,-300,377.65,0
300,-300,343.51,0
300,-300,285.19,0
300,-300,210.59,0
300,-300,110.02,0
300,-300,-8.33,0
300,-300,-153.47,0
300,-300,-316.31,0
300,-300,-503.80,0
300,-300,-703.52,0
300,-300,-919.96,0
300,-300,-1138.93,0
300,-300,-1363.85,0
300,-300,-1579.55,0
300,-300,-1790.45,0
300,-300,-1982.96,0
300,-300,-2163.32,0
300,-300,-2320.42,0
300,-300,-2463.84,0
300,-300,-2582.66,0
300,-300,-2687.61,0
300,-300,-2768.40,0
300,-300,-2835.79,0
300,-300,-2878.14,0
300,-300,-2906.96,0
300,-300,-2909.68,0
300,-300,-2898.53,0
300,-300,-2862.59,0
300,-300,-2817.73,0
300,-300,-2754.02,0
300,-300,-2687.56,0
300,-300,-2611.80,0
300,-300,-2543.96,0
300,-300,-2475.78,0
300,-300,-2422.36,0
300,-300,-2372.41,0
300,-300,-2338.11,0
300,-300,-2304.50,0
300,-300,-2276.55,0
300,-300,-2242.16,0
300,-300,-2206.34,0
300,-300,-2154.84,0
300,-300,-2097.75,0
300,-300,-2022.70,0
300,-300,-1943.71,0
300,-300,-1851.76,0
300,-300,-1763.93,0
300,-300,-1671.63,0
300,-300,-1590.81,0
300,-300,-1512.41,0
300,-300,-1447.74,0
300,-300,-1384.10,0
300,-300,-1331.25,0
300,-300,-1271.78,0
300,-300,-1214.17,0
300,-300,-1141.04,0
300,-300,-1062.41,0
300,-300,-964.24,0
300,-300,-860.52,0
300,-300,-739.95,0
300,-300,-622.33,0
300,-300,-497.04,0
300,-300,-382.70,0
300,-300,-271.69,0
300,-300,-181.47,0
300,-300,-101.60,0
300,-300,-46.01,0
300,-300,-2.98,0
300,-300,15.39,0
300,-300,23.46,0
300,-300,6.58,0
300,-300,-20.40,0
300,-300,-72.21,0
300,-300,-136.60,0
300,-300,-228.64,0
300,-300,-335.54,0
300,-300,-473.22,0
300,-300,-625.56,0
300,-300,-804.49,0
300,-300,-992.91,0
300,-300,-1201.49,0
300,-300,-1409.22,0
300,-300,-1625.27,0
300,-300,-1831.00,0
300,-300,-2035.57,0
300,-300,-2221.79,0
300,-300,-2401.61,0
300,-300,-2559.04,0
300,-300,-2707.33,0
300,-300,-2832.80,0
300,-300,-2947.49,0
300,-300,-3037.75,0
300,-300,-3115.74,0
300,-300,-3166.32,0
300,-300,-3201.40,0
300,-300,-3205.94,0
300,-300,-3194.25,0
300,-300,-3153.16,0
300,-300,-3099.50,0
300,-300,-3023.83,0
300,-300,-2946.00,0
300,-300,-2859.15,0
300,-300,-2783.70,0
300,-300,-2712.09,0
300,-300,-2661.78,0
300,-300,-2621.58,0
300,-300,-2597.70,0
300,-300,-2578.12,0
300,-300,-2567.82,0
300,-300,-2545.72,0
300,-300,-2517.96,0
300,-300,-2464.88,0
300,-300,-2395.24,0
300,-300,-2294.54,0
300,-300,-2177.90,0
300,-300,-2036.99,0
300,-300,-1891.29,0
300,-300,-1736.40,0
300,-300,-1594.04,0
300,-300,-1455.60,0
300,-300,-1341.10,0
300,-300,-1238.65,0
300,-300,-1159.60,0
300,-300,-1086.99,0
300,-300,-1028.47,0
300,-300,-965.04,0
300,-300,-903.45,0
300,-300,-825.29,0
300,-300,-740.15,0
300,-300,-638.01,0
300,-300,-529.62,0
300,-300,-406.16,0
300,-300,-286.10,0
300,-300,-161.22,0
300,-300,-49.39,0
300,-300,58.25,0
300,-300,146.30,0
300,-300,226.61,0
300,-300,285.50,0
300,-300,335.27,0
300,-300,363.71,0
300,-300,383.12,0
300,-300,378.59,0
300,-300,361.60,0
300,-300,315.84,0
300,-300,250.54,0
300,-300,151.15,0
300,-300,29.19,0
300,-300,-128.73,0
300,-300,-306.39,0
300,-300,-513.35,0
300,-300,-730.96,0
300,-300,-965.55,0
300,-300,-1196.86,0
300,-300,-1431.17,0
300,-300,-1650.65,0
300,-300,-1862.23,0
300,-300,-2052.64,0
300,-300,-2231.61,0
300,-300,-2387.04,0
300,-300,-2532.74,0
300,-300,-2655.50,0
300,-300,-2768.62,0
300,-300,-2857.94,0
300,-300,-2935.34,0
300,-300,-2985.70,0
300,-300,-3020.26,0
300,-300,-3022.71,0
300,-300,-3007.15,0
300,-300,-2961.46,0
300,-300,-2901.41,0
300,-300,-2819.11,0
300,-300,-2734.26,0
300,-300,-2641.83,0
300,-300,-2562.54,0
300,-300,-2487.56,0
300,-300,-2436.37,0
300,-300,-2395.55,0
300,-300,-2377.97,0
300,-300,-2365.75,0
300,-300,-2365.22,0
300,-300,-2356.17,0
300,-300,-2344.00,0
300,-300,-2309.27,0
300,-300,-2258.13,0
300,-300,-2178.85,0
300,-300,-2085.11,0
300,-300,-1967.26,0
300,-300,-1844.73,0
300,-300,-1712.26,0
300,-300,-1589.45,0
300,-300,-1469.65,0
300,-300,-1370.14,0
300,-300,-1279.47,0
300,-300,-1208.63,0
300,-300,-1142.65,0
300,-300,-1087.39,0
300,-300,-1029.60,0
300,-300,-971.53,0
300,-300,-896.68,0
300,-300,-815.33,0
300,-300,-714.08,0
300,-300,-607.47,0
300,-300,-485.46,0
300,-300,-365.77,0
300,-300,-239.92,0
300,-300,-125.10,0
300,-300,-13.60,0
300,-300,80.26,0
300,-300,166.79,0
300,-300,232.18,0
300,-300,288.70,0
300,-300,323.52,0
300,-300,348.27,0
300,-300,348.13,0
300,-300,335.44,0
300,-300,295.26,0
300,-300,237.28,0
300,-300,146.36,0
300,-300,33.79,0
300,-300,-113.10,0
300,-300,-279.88,0
300,-300,-476.67,0
300,-300,-685.73,0
300,-300,-915.33,0
300,-300,-1145.58,0
300,-300,-1382.75,0
300,-300,-1608.38,0
300,-300,-1830.64,0
300,-300,-2032.90,0
300,-300,-2225.59,0
300,-300,-2395.06,0
300,-300,-2553.51,0
300,-300,-2688.64,0
300,-300,-2813.44,0
300,-300,-2915.44,0
300,-300,-3005.36,0
300,-300,-3070.65,0
300,-300,-3122.25,0
300,-300,-3145.89,0
300,-300,-3153.37,0
300,-300,-3132.55,0
300,-300,-3097.18,0
300,-300,-3038.70,0
300,-300,-2974.06,0
300,-300,-2897.84,0
300,-300,-2826.70,0
300,-300,-2756.14,0
300,-300,-2702.25,0
300,-300,-2654.85,0
300,-300,-2627.02,0
300,-300,-2603.24,0
300,-300,-2591.15,0
300,-300,-2566.06,0
300,-300,-2538.26,0
300,-300,-2487.08,0
300,-300,-2418.91,0
300,-300,-2319.31,0
300,-300,-2201.16,0
300,-300,-2056.04,0
300,-300,-1903.08,0
300,-300,-1738.71,0
300,-300,-1584.15,0
300,-300,-1436.17,0
300,-300,-1313.09,0
300,-300,-1206.36,0
300,-300,-1130.62,0
300,-300,-1069.55,0
300,-300,-1029.69,0
300,-300,-991.94,0
300,-300,-959.62,0
300,-300,-913.62,0
300,-300,-859.75,0
300,-300,-783.50,0
300,-300,-694.21,0
300,-300,-585.59,0
300,-300,-470.35,0
300,-300,-343.14,0
300,-300,-221.85,0
300,-300,-100.68,0
300,-300,4.57,0
300,-300,102.33,0
300,-300,180.13,0
300,-300,248.01,0
300,-300,296.56,0
300,-300,335.70,0
300,-300,354.82,0
300,-300,363.59,0
300,-300,348.14,0
300,-300,316.39,0
300,-300,253.38,0
300,-300,167.39,0
300,-300,44.73,0
300,-300,-104.46,0
300,-300,-289.29,0
300,-300,-493.93,0
300,-300,-724.13,0
300,-300,-961.21,0
300,-300,-1207.99,0
300,-300,-1446.39,0
300,-300,-1679.91,0
300,-300,-1893.14,0
300,-300,-2093.63,0
300,-300,-2269.09,0
300,-300,-2431.90,0
300,-300,-2570.71,0
300,-300,-2699.24,0
300,-300,-2807.69,0
300,-300,-2906.60,0
300,-300,-2983.94,0
300,-300,-3048.38,0
300,-300,-3086.61,0
300,-300,-3107.41,0
300,-300,-3098.32,0
300,-300,-3070.48,0
300,-300,-3015.02,0
300,-300,-2947.67,0
300,-300,-2864.35,0
300,-300,-2783.19,0
300,-300,-2701.20,0
300,-300,-2635.24,0
300,-300,-2579.94,0
300,-300,-2541.84,0
300,-300,-2513.10,0
300,-300,-2497.63,0
300,-300,-2478.42,0
300,-300,-2457.64,0
300,-300,-2417.31,0
300,-300,-2362.12,0
300,-300,-2278.30,0
300,-300,-2175.86,0
300,-300,-2047.93,0
300,-300,-1910.66,0
300,-300,-1761.50,0
300,-300,-1618.75,0
300,-300,-1480.32,0
300,-300,-1360.80,0
300,-300,-1254.01,0
300,-300,-1169.09,0
300,-300,-1092.63,0
300,-300,-1029.33,0
300,-300,-962.34,0
300,-300,-896.08,0
300,-300,-812.85,0
300,-300,-724.74,0
300,-300,-616.26,0
300,-300,-499.22,0
300,-300,-368.92,0
300,-300,-240.73,0
300,-300,-111.61,0
300,-300,3.65,0
300,-300,110.10,0
300,-300,195.48,0
300,-300,267.93,0
300,-300,318.02,0
300,-300,355.57,0
300,-300,372.65,0
300,-300,378.62,0
300,-300,363.92,0
300,-300,335.72,0
300,-300,282.66,0
300,-300,210.24,0
300,-300,106.10,0
300,-300,-22.79,0
300,-300,-184.93,0
300,-300,-370.94,0
300,-300,-585.55,0
300,-300,-814.32,0
300,-300,-1059.13,0
300,-300,-1303.54,0
300,-300,-1548.80,0
300,-300,-1779.81,0
300,-300,-2000.18,0
300,-300,-2198.89,0
300,-300,-2381.57,0
300,-300,-2541.46,0
300,-300,-2688.09,0
300,-300,-2813.85,0
300,-300,-2928.57,0
300,-300,-3023.57,0
300,-300,-3106.77,0
300,-300,-3168.64,0
300,-300,-3214.71,0
300,-300,-3235.02,0
300,-300,-3235.80,0
300,-300,-3209.53,0
300,-300,-3166.89,0
300,-300,-3103.37,0
300,-300,-3033.04,0
300,-300,-2955.08,0
300,-300,-2884.49,0
300,-300,-2817.49,0
300,-300,-2767.14,0
300,-300,-2726.59,0
300,-300,-2702.77,0
300,-300,-2682.71,0
300,-300,-2668.23,0
300,-300,-2644.27,0
300,-300,-2610.51,0
300,-300,-2553.32,0
300,-300,-2476.03,0
300,-300,-2370.16,0
300,-300,-2244.97,0
300,-300,-2098.17,0
300,-300,-1943.94,0
300,-300,-1783.13,0
300,-300,-1630.34,0
300,-300,-1484.93,0
300,-300,-1357.95,0
300,-300,-1243.43,0
300,-300,-1146.98,0
300,-300,-1058.36,0
300,-300,-977.92,0
300,-300,-898.04,0
300,-300,-815.90,0
300,-300,-721.84,0
300,-300,-620.49,0
300,-300,-506.40,0
300,-300,-388.76,0
300,-300,-265.14,0
300,-300,-146.77,0
300,-300,-32.05,0
300,-300,68.36,0
300,-300,158.12,0
300,-300,228.84,0
300,-300,286.37,0
300,-300,325.03,0
300,-300,351.31,0
300,-300,360.06,0
300,-300,356.78,0
300,-300,334.41,0
300,-300,296.77,0
300,-300,235.49,0
300,-300,154.79,0
300,-300,46.01,0
300,-300,-86.48,0
300,-300,-247.47,0
300,-300,-429.22,0
300,-300,-633.82,0
300,-300,-850.10,0
300,-300,-1077.87,0
300,-300,-1305.67,0
300,-300,-1532.36,0
300,-300,-1748.25,0
300,-300,-1954.35,0
300,-300,-2143.53,0
300,-300,-2319.62,0
300,-300,-2477.14,0
300,-300,-2621.25,0
300,-300,-2747.20,0
300,-300,-2860.15,0
300,-300,-2953.72,0
300,-300,-3031.24,0
300,-300,-3086.07,0
300,-300,-3121.07,0
300,-300,-3130.81,0
300,-300,-3120.24,0
300,-300,-3085.91,0
300,-300,-3035.80,0
300,-300,-2970.20,0
300,-300,-2900.72,0
300,-300,-2827.72,0
300,-300,-2761.57,0
300,-300,-2701.78,0
300,-300,-2654.76,0
300,-300,-2615.26,0
300,-300,-2584.69,0
300,-300,-2552.83,0
300,-300,-2518.21,0
300,-300,-2469.95,0
300,-300,-2404.70,0
300,-300,-2317.29,0
300,-300,-2209.10,0
300,-300,-2079.05,0
300,-300,-1935.72,0
300,-300,-1781.94,0
300,-300,-1629.76,0
300,-300,-1482.65,0
300,-300,-1351.18,0
300,-300,-1235.95,0
300,-300,-1141.35,0
300,-300,-1062.75,0
300,-300,-1001.01,0
300,-300,-945.35,0
300,-300,-893.11,0
300,-300,-833.54,0
300,-300,-765.37,0
300,-300,-681.96,0
300,-300,-586.52,0
300,-300,-477.08,0
300,-300,-360.23,0
300,-300,-239.08,0
300,-300,-122.17,0
300,-300,-11.70,0
300,-300,84.53,0
300,-300,166.44,0
300,-300,229.00,0
300,-300,275.03,0
300,-300,301.31,0
300,-300,310.92,0
300,-300,300.98,0
300,-300,274.77,0
300,-300,227.92,0
300,-300,162.68,0
300,-300,73.78,0
300,-300,-37.31,0
300,-300,-174.10,0
300,-300,-333.05,0
300,-300,-514.70,0
300,-300,-713.43,0
300,-300,-925.90,0
300,-300,-1144.02,0
300,-300,-1364.51,0
300,-300,-1578.55,0
300,-300,-1784.28,0
300,-300,-1975.52,0
300,-300,-2152.32,0
300,-300,-2311.17,0
300,-300,-2455.06,0
300,-300,-2583.22,0
300,-300,-2697.49,0
300,-300,-2796.53,0
300,-300,-2882.16,0
300,-300,-2951.01,0
300,-300,-3004.31,0
300,-300,-3038.16,0
300,-300,-3052.24,0
300,-300,-3043.36,0
300,-300,-3013.49,0
300,-300,-2956.08,0
300,-300,-2879.26,0
300,-300,-2782.71,0
300,-300,-2672.86,0
300,-300,-2554.09,0
300,-300,-2433.35,0
300,-300,-2315.54,0
300,-300,-2207.79,0
300,-300,-2113.00,0
300,-300,-2036.16,0
300,-300,-1977.03,0
300,-300,-1937.18,0
300,-300,-1911.82,0
300,-300,-1899.13,0
300,-300,-1892.32,0
300,-300,-1885.77,0
300,-300,-1871.38,0
300,-300,-1843.77,0
300,-300,-1795.65,0
300,-300,-1724.38,0
300,-300,-1626.66,0
300,-300,-1503.69,0
300,-300,-1355.14,0
300,-300,-1188.10,0
300,-300,-1007.21,0
300,-300,-820.56,0
300,-300,-634.42,0
300,-300,-457.30,0
300,-300,-293.89,0
300,-300,-150.10,0
300,-300,-28.48,0
300,-300,69.50,0
300,-300,142.51,0
300,-300,192.91,0
300,-300,221.97,0
300,-300,230.38,0
300,-300,219.29,0
300,-300,188.36,0
300,-300,136.28,0
300,-300,62.23,0
300,-300,-34.80,0
300,-300,-155.84,0
300,-300,-301.40,0
300,-300,-468.56,0
300,-300,-654.60,0
300,-300,-855.60,0
300,-300,-1065.14,0
300,-300,-1277.46,0
300,-300,-1487.86,0
300,-300,-1689.73,0
